id,component,material_category,design_code,design_name,finish,texture,color_family,application
78,Wallpaper,Wallpaper,INT-10078,White Wallpaper Style 78,Gloss,Marble,White,Office
79,Chair Fabric,Fabric,INT-10079,Ivory Chair Fabric Style 79,Gloss,Fabric,Ivory,Lobby
80,Wall Panel,Panel,INT-10080,Teak Wall Panel Style 80,Textured,Concrete,Teak,Dining
81,Glass Partition,Glass,INT-10081,Ivory Glass Partition Style 81,Polished,Stone,Ivory,Bedroom
82,Marble Flooring,Marble,INT-10082,Oak Marble Flooring Style 82,Gloss,Linear,Oak,Kitchen
83,Floor Tile,Tile,INT-10083,Oak Floor Tile Style 83,Gloss,Stone,Oak,Office
84,Wallpaper,Wallpaper,INT-10084,Blue Wallpaper Style 84,High Gloss,Smooth,Blue,Lobby
85,Floor Tile,Tile,INT-10085,Grey Floor Tile Style 85,Polished,Marble,Grey,Lobby
86,Kitchen Countertop,Stone,INT-10086,Oak Kitchen Countertop Style 86,Textured,Linear,Oak,Bathroom
87,Glass Partition,Glass,INT-10087,Black Glass Partition Style 87,Polished,Smooth,Black,Dining
88,Floor Tile,Tile,INT-10088,White Floor Tile Style 88,Natural,Pattern,White,Living Room
89,Wood Flooring,Wood,INT-10089,Blue Wood Flooring Style 89,Satin,Linear,Blue,Dining
90,Floor Tile,Tile,INT-10090,Green Floor Tile Style 90,Satin,Fabric,Green,Dining
91,Kitchen Cabinet,Laminate,INT-10091,Red Kitchen Cabinet Style 91,High Gloss,Woodgrain,Red,Office
92,Ceiling Panel,Panel,INT-10092,Light Oak Ceiling Panel Style 92,Gloss,Fabric,Light Oak,Bedroom
93,TV Unit Panel,Panel,INT-10093,Beige TV Unit Panel Style 93,Textured,Smooth,Beige,Lobby
94,Marble Flooring,Marble,INT-10094,Oak Marble Flooring Style 94,Matte,Marble,Oak,Bathroom
95,Chair Fabric,Fabric,INT-10095,Mahogany Chair Fabric Style 95,Textured,Concrete,Mahogany,Lobby
96,Floor Tile,Tile,INT-10096,White Floor Tile Style 96,Polished,Concrete,White,Bedroom
97,Sofa Fabric,Fabric,INT-10097,Light Oak Sofa Fabric Style 97,Gloss,Pattern,Light Oak,Kitchen
98,Sofa Fabric,Fabric,INT-10098,Oak Sofa Fabric Style 98,Gloss,Marble,Oak,Dining
99,Wood Flooring,Wood,INT-10099,Light Oak Wood Flooring Style 99,Matte,Concrete,Light Oak,Dining
100,Chair Fabric,Fabric,INT-10100,Charcoal Chair Fabric Style 100,Natural,Smooth,Charcoal,Kitchen
101,Kitchen Countertop,Stone,INT-10101,Sand Kitchen Countertop Style 101,Gloss,Concrete,Sand,Bathroom
102,Table Surface,Wood,INT-10102,Black Table Surface Style 102,Natural,Pattern,Black,Bathroom
103,TV Unit Panel,Panel,INT-10103,Olive TV Unit Panel Style 103,Natural,Pattern,Olive,Bedroom
104,Ceiling Panel,Panel,INT-10104,Mahogany Ceiling Panel Style 104,Satin,Linear,Mahogany,Lobby
105,Wall Panel,Panel,INT-10105,Walnut Wall Panel Style 105,High Gloss,Marble,Walnut,Living Room
106,Ceiling Panel,Panel,INT-10106,Mustard Ceiling Panel Style 106,High Gloss,Linear,Mustard,Lobby
107,False Ceiling,Gypsum,INT-10107,Light Oak False Ceiling Style 107,Textured,Concrete,Light Oak,Dining
108,Sofa Fabric,Fabric,INT-10108,Beige Sofa Fabric Style 108,High Gloss,Pattern,Beige,Office
109,Wood Flooring,Wood,INT-10109,Beige Wood Flooring Style 109,Natural,Fabric,Beige,Bedroom
110,Glass Partition,Glass,INT-10110,Red Glass Partition Style 110,Matte,Smooth,Red,Dining
111,Wallpaper,Wallpaper,INT-10111,Ivory Wallpaper Style 111,Matte,Woodgrain,Ivory,Bedroom
112,Table Surface,Wood,INT-10112,Mustard Table Surface Style 112,Polished,Woodgrain,Mustard,Living Room
113,Wood Flooring,Wood,INT-10113,Oak Wood Flooring Style 113,Textured,Stone,Oak,Kitchen
114,Table Surface,Wood,INT-10114,Yellow Table Surface Style 114,High Gloss,Smooth,Yellow,Living Room
115,Wall Paint,Paint,INT-10115,Light Oak Wall Paint Style 115,Textured,Smooth,Light Oak,Lobby
116,Decor Panel,Panel,INT-10116,Black Decor Panel Style 116,Polished,Fabric,Black,Dining
117,Floor Tile,Tile,INT-10117,Green Floor Tile Style 117,Natural,Concrete,Green,Bathroom
118,Wardrobe Finish,Laminate,INT-10118,Green Wardrobe Finish Style 118,Matte,Smooth,Green,Bedroom
119,Wardrobe Panel,Panel,INT-10119,Sand Wardrobe Panel Style 119,Gloss,Linear,Sand,Lobby
120,Wall Paint,Paint,INT-10120,Navy Wall Paint Style 120,Matte,Concrete,Navy,Office
121,Kitchen Countertop,Stone,INT-10121,Mahogany Kitchen Countertop Style 121,Satin,Smooth,Mahogany,Lobby
122,Floor Tile,Tile,INT-10122,Charcoal Floor Tile Style 122,Textured,Marble,Charcoal,Kitchen
123,Wallpaper,Wallpaper,INT-10123,Cream Wallpaper Style 123,Matte,Woodgrain,Cream,Office
124,Wallpaper,Wallpaper,INT-10124,Terracotta Wallpaper Style 124,Gloss,Smooth,Terracotta,Lobby
125,Decor Panel,Panel,INT-10125,Blue Decor Panel Style 125,Textured,Smooth,Blue,Living Room
126,Wood Flooring,Wood,INT-10126,Cream Wood Flooring Style 126,Matte,Smooth,Cream,Living Room
127,Floor Tile,Tile,INT-10127,Cream Floor Tile Style 127,Gloss,Woodgrain,Cream,Bathroom
128,False Ceiling,Gypsum,INT-10128,Green False Ceiling Style 128,Polished,Woodgrain,Green,Living Room
129,False Ceiling,Gypsum,INT-10129,Grey False Ceiling Style 129,Gloss,Smooth,Grey,Living Room
130,Table Surface,Wood,INT-10130,Navy Table Surface Style 130,Textured,Stone,Navy,Bathroom
131,Floor Tile,Tile,INT-10131,Walnut Floor Tile Style 131,Polished,Fabric,Walnut,Bedroom
132,Table Surface,Wood,INT-10132,Ivory Table Surface Style 132,Matte,Smooth,Ivory,Office
133,Wall Paint,Paint,INT-10133,Navy Wall Paint Style 133,High Gloss,Linear,Navy,Living Room
134,Table Surface,Wood,INT-10134,Light Oak Table Surface Style 134,Polished,Fabric,Light Oak,Bathroom
135,Wardrobe Finish,Laminate,INT-10135,Light Oak Wardrobe Finish Style 135,Matte,Stone,Light Oak,Living Room
136,Wood Flooring,Wood,INT-10136,Beige Wood Flooring Style 136,Matte,Smooth,Beige,Dining
137,Wall Panel,Panel,INT-10137,Grey Wall Panel Style 137,Satin,Pattern,Grey,Office
138,Kitchen Cabinet,Laminate,INT-10138,Blue Kitchen Cabinet Style 138,Textured,Woodgrain,Blue,Lobby
139,Decor Panel,Panel,INT-10139,Teak Decor Panel Style 139,Matte,Marble,Teak,Living Room
140,Kitchen Countertop,Stone,INT-10140,Yellow Kitchen Countertop Style 140,Natural,Pattern,Yellow,Lobby
141,Kitchen Cabinet,Laminate,INT-10141,Black Kitchen Cabinet Style 141,High Gloss,Linear,Black,Kitchen
142,Wood Flooring,Wood,INT-10142,Green Wood Flooring Style 142,Matte,Linear,Green,Dining
143,Sofa Fabric,Fabric,INT-10143,Ivory Sofa Fabric Style 143,Natural,Marble,Ivory,Dining
144,TV Unit Panel,Panel,INT-10144,Cream TV Unit Panel Style 144,Satin,Fabric,Cream,Office
145,Marble Flooring,Marble,INT-10145,Yellow Marble Flooring Style 145,High Gloss,Pattern,Yellow,Bathroom
146,Wall Panel,Panel,INT-10146,Yellow Wall Panel Style 146,Polished,Woodgrain,Yellow,Bedroom
147,Wall Paint,Paint,INT-10147,Navy Wall Paint Style 147,Satin,Fabric,Navy,Office
148,Wardrobe Panel,Panel,INT-10148,Beige Wardrobe Panel Style 148,Satin,Fabric,Beige,Kitchen
149,Wall Panel,Panel,INT-10149,Yellow Wall Panel Style 149,Textured,Concrete,Yellow,Dining
150,Kitchen Cabinet,Laminate,INT-10150,Charcoal Kitchen Cabinet Style 150,Matte,Woodgrain,Charcoal,Office
151,Table Surface,Wood,INT-10151,Beige Table Surface Style 151,Satin,Marble,Beige,Living Room
152,Wardrobe Panel,Panel,INT-10152,White Wardrobe Panel Style 152,Polished,Linear,White,Lobby
153,Ceiling Panel,Panel,INT-10153,Oak Ceiling Panel Style 153,Matte,Concrete,Oak,Dining
154,Kitchen Countertop,Stone,INT-10154,Terracotta Kitchen Countertop Style 154,Textured,Smooth,Terracotta,Living Room
155,Glass Partition,Glass,INT-10155,Cream Glass Partition Style 155,Textured,Concrete,Cream,Lobby
156,Wardrobe Panel,Panel,INT-10156,Grey Wardrobe Panel Style 156,Polished,Marble,Grey,Kitchen
157,Wood Flooring,Wood,INT-10157,White Wood Flooring Style 157,Textured,Smooth,White,Bathroom
158,Wallpaper,Wallpaper,INT-10158,Navy Wallpaper Style 158,High Gloss,Pattern,Navy,Lobby
159,Decor Panel,Panel,INT-10159,Mahogany Decor Panel Style 159,Matte,Linear,Mahogany,Lobby
160,Decor Panel,Panel,INT-10160,White Decor Panel Style 160,High Gloss,Woodgrain,White,Dining
161,Floor Tile,Tile,INT-10161,Red Floor Tile Style 161,Natural,Fabric,Red,Office
162,False Ceiling,Gypsum,INT-10162,Mahogany False Ceiling Style 162,Gloss,Stone,Mahogany,Lobby
163,Marble Flooring,Marble,INT-10163,Mustard Marble Flooring Style 163,Gloss,Woodgrain,Mustard,Office
164,Kitchen Countertop,Stone,INT-10164,Red Kitchen Countertop Style 164,Gloss,Concrete,Red,Office
165,Table Surface,Wood,INT-10165,Ivory Table Surface Style 165,Textured,Linear,Ivory,Bathroom
166,Glass Partition,Glass,INT-10166,Cream Glass Partition Style 166,Matte,Fabric,Cream,Bathroom
167,Floor Tile,Tile,INT-10167,Olive Floor Tile Style 167,Textured,Pattern,Olive,Lobby
168,Wood Flooring,Wood,INT-10168,Oak Wood Flooring Style 168,Natural,Pattern,Oak,Kitchen
169,Wall Panel,Panel,INT-10169,Beige Wall Panel Style 169,Polished,Woodgrain,Beige,Bedroom
170,Chair Fabric,Fabric,INT-10170,White Chair Fabric Style 170,Matte,Stone,White,Dining
171,Table Surface,Wood,INT-10171,Ivory Table Surface Style 171,Polished,Fabric,Ivory,Bathroom
172,Ceiling Panel,Panel,INT-10172,Mustard Ceiling Panel Style 172,Matte,Stone,Mustard,Bathroom
173,Sofa Fabric,Fabric,INT-10173,Walnut Sofa Fabric Style 173,Satin,Stone,Walnut,Living Room
174,Floor Tile,Tile,INT-10174,Blue Floor Tile Style 174,Textured,Concrete,Blue,Bathroom
175,Floor Tile,Tile,INT-10175,Mustard Floor Tile Style 175,Natural,Fabric,Mustard,Bedroom
176,Wood Flooring,Wood,INT-10176,Navy Wood Flooring Style 176,Matte,Woodgrain,Navy,Dining
177,Kitchen Cabinet,Laminate,INT-10177,Green Kitchen Cabinet Style 177,Gloss,Smooth,Green,Lobby
178,Wall Panel,Panel,INT-10178,Black Wall Panel Style 178,Natural,Fabric,Black,Bathroom
179,False Ceiling,Gypsum,INT-10179,Cream False Ceiling Style 179,Polished,Pattern,Cream,Kitchen
180,Floor Tile,Tile,INT-10180,Green Floor Tile Style 180,Textured,Linear,Green,Living Room
181,Ceiling Panel,Panel,INT-10181,Ivory Ceiling Panel Style 181,Satin,Linear,Ivory,Lobby
182,Marble Flooring,Marble,INT-10182,Black Marble Flooring Style 182,Matte,Smooth,Black,Lobby
183,Sofa Fabric,Fabric,INT-10183,Light Oak Sofa Fabric Style 183,Gloss,Marble,Light Oak,Bedroom
184,Table Surface,Wood,INT-10184,Teak Table Surface Style 184,Gloss,Woodgrain,Teak,Living Room
185,Sofa Fabric,Fabric,INT-10185,Olive Sofa Fabric Style 185,High Gloss,Stone,Olive,Kitchen
186,False Ceiling,Gypsum,INT-10186,Ivory False Ceiling Style 186,High Gloss,Smooth,Ivory,Office
187,Wall Paint,Paint,INT-10187,Light Oak Wall Paint Style 187,High Gloss,Pattern,Light Oak,Living Room
188,Wood Flooring,Wood,INT-10188,Light Oak Wood Flooring Style 188,Natural,Concrete,Light Oak,Dining
189,False Ceiling,Gypsum,INT-10189,Walnut False Ceiling Style 189,Satin,Pattern,Walnut,Dining
190,Wardrobe Finish,Laminate,INT-10190,Red Wardrobe Finish Style 190,Textured,Stone,Red,Lobby
191,Wallpaper,Wallpaper,INT-10191,Charcoal Wallpaper Style 191,Gloss,Stone,Charcoal,Dining
192,Wall Panel,Panel,INT-10192,Ivory Wall Panel Style 192,Matte,Pattern,Ivory,Living Room
193,Table Surface,Wood,INT-10193,Olive Table Surface Style 193,Matte,Concrete,Olive,Bathroom
194,Glass Partition,Glass,INT-10194,Light Oak Glass Partition Style 194,Textured,Concrete,Light Oak,Bedroom
195,False Ceiling,Gypsum,INT-10195,Grey False Ceiling Style 195,Matte,Marble,Grey,Living Room
196,Wall Paint,Paint,INT-10196,Navy Wall Paint Style 196,Matte,Concrete,Navy,Dining
197,Decor Panel,Panel,INT-10197,Light Oak Decor Panel Style 197,Natural,Marble,Light Oak,Dining
198,TV Unit Panel,Panel,INT-10198,Mustard TV Unit Panel Style 198,Gloss,Fabric,Mustard,Kitchen
199,Wallpaper,Wallpaper,INT-10199,Sand Wallpaper Style 199,Gloss,Marble,Sand,Bedroom
200,False Ceiling,Gypsum,INT-10200,Terracotta False Ceiling Style 200,Natural,Smooth,Terracotta,Living Room
201,Kitchen Countertop,Stone,INT-10201,Light Oak Kitchen Countertop Style 201,Satin,Marble,Light Oak,Bathroom
202,Wallpaper,Wallpaper,INT-10202,Ivory Wallpaper Style 202,Matte,Concrete,Ivory,Dining
203,Wall Panel,Panel,INT-10203,Ivory Wall Panel Style 203,Polished,Woodgrain,Ivory,Lobby
204,Kitchen Cabinet,Laminate,INT-10204,Beige Kitchen Cabinet Style 204,Polished,Fabric,Beige,Dining
205,Sofa Fabric,Fabric,INT-10205,Olive Sofa Fabric Style 205,Satin,Concrete,Olive,Bathroom
206,Wood Flooring,Wood,INT-10206,Blue Wood Flooring Style 206,Satin,Smooth,Blue,Bathroom
207,Ceiling Panel,Panel,INT-10207,Black Ceiling Panel Style 207,Matte,Fabric,Black,Dining
208,Wardrobe Panel,Panel,INT-10208,Light Oak Wardrobe Panel Style 208,Matte,Fabric,Light Oak,Dining
209,Wallpaper,Wallpaper,INT-10209,Green Wallpaper Style 209,Textured,Smooth,Green,Office
210,Kitchen Countertop,Stone,INT-10210,Ivory Kitchen Countertop Style 210,Gloss,Fabric,Ivory,Office
211,Wall Paint,Paint,INT-10211,Black Wall Paint Style 211,Gloss,Pattern,Black,Bedroom
212,Wallpaper,Wallpaper,INT-10212,Red Wallpaper Style 212,High Gloss,Stone,Red,Living Room
213,Floor Tile,Tile,INT-10213,White Floor Tile Style 213,Textured,Marble,White,Kitchen
214,Wardrobe Finish,Laminate,INT-10214,White Wardrobe Finish Style 214,High Gloss,Concrete,White,Lobby
215,Marble Flooring,Marble,INT-10215,Grey Marble Flooring Style 215,Satin,Concrete,Grey,Bedroom
216,Wood Flooring,Wood,INT-10216,Mustard Wood Flooring Style 216,High Gloss,Woodgrain,Mustard,Bedroom
217,Ceiling Panel,Panel,INT-10217,Yellow Ceiling Panel Style 217,Polished,Stone,Yellow,Bedroom
218,Decor Panel,Panel,INT-10218,Walnut Decor Panel Style 218,High Gloss,Stone,Walnut,Office
219,Wallpaper,Wallpaper,INT-10219,Red Wallpaper Style 219,High Gloss,Fabric,Red,Lobby
220,Glass Partition,Glass,INT-10220,Walnut Glass Partition Style 220,Matte,Linear,Walnut,Office
221,Marble Flooring,Marble,INT-10221,Light Oak Marble Flooring Style 221,High Gloss,Linear,Light Oak,Office
222,Wall Panel,Panel,INT-10222,Olive Wall Panel Style 222,Gloss,Woodgrain,Olive,Kitchen
223,Wood Flooring,Wood,INT-10223,Light Oak Wood Flooring Style 223,Satin,Linear,Light Oak,Living Room
224,Wallpaper,Wallpaper,INT-10224,Navy Wallpaper Style 224,High Gloss,Concrete,Navy,Bedroom
225,Wardrobe Finish,Laminate,INT-10225,Mustard Wardrobe Finish Style 225,High Gloss,Concrete,Mustard,Lobby
226,Wall Paint,Paint,INT-10226,Red Wall Paint Style 226,High Gloss,Fabric,Red,Bathroom
227,Wood Flooring,Wood,INT-10227,White Wood Flooring Style 227,High Gloss,Stone,White,Dining
228,Glass Partition,Glass,INT-10228,Charcoal Glass Partition Style 228,Gloss,Linear,Charcoal,Living Room
229,Decor Panel,Panel,INT-10229,Oak Decor Panel Style 229,Gloss,Marble,Oak,Office
230,Table Surface,Wood,INT-10230,Green Table Surface Style 230,Polished,Marble,Green,Bathroom
231,Decor Panel,Panel,INT-10231,Beige Decor Panel Style 231,Satin,Stone,Beige,Dining
232,Glass Partition,Glass,INT-10232,Red Glass Partition Style 232,Gloss,Woodgrain,Red,Dining
233,Kitchen Countertop,Stone,INT-10233,Terracotta Kitchen Countertop Style 233,Textured,Linear,Terracotta,Bathroom
234,Wallpaper,Wallpaper,INT-10234,Green Wallpaper Style 234,Natural,Fabric,Green,Office
235,Wall Panel,Panel,INT-10235,Olive Wall Panel Style 235,Natural,Woodgrain,Olive,Kitchen
236,Table Surface,Wood,INT-10236,Terracotta Table Surface Style 236,Textured,Linear,Terracotta,Office
237,Wallpaper,Wallpaper,INT-10237,Mahogany Wallpaper Style 237,High Gloss,Pattern,Mahogany,Bathroom
238,Wall Panel,Panel,INT-10238,Sand Wall Panel Style 238,High Gloss,Pattern,Sand,Lobby
239,Glass Partition,Glass,INT-10239,Olive Glass Partition Style 239,Satin,Concrete,Olive,Bedroom
240,Kitchen Countertop,Stone,INT-10240,Mustard Kitchen Countertop Style 240,Natural,Woodgrain,Mustard,Office
241,Floor Tile,Tile,INT-10241,Beige Floor Tile Style 241,Polished,Fabric,Beige,Living Room
242,Floor Tile,Tile,INT-10242,Black Floor Tile Style 242,Satin,Fabric,Black,Office
243,Decor Panel,Panel,INT-10243,Terracotta Decor Panel Style 243,Textured,Fabric,Terracotta,Bedroom
244,Ceiling Panel,Panel,INT-10244,Olive Ceiling Panel Style 244,Gloss,Pattern,Olive,Office
245,Wood Flooring,Wood,INT-10245,Beige Wood Flooring Style 245,Satin,Woodgrain,Beige,Kitchen
246,False Ceiling,Gypsum,INT-10246,Terracotta False Ceiling Style 246,Textured,Stone,Terracotta,Lobby
247,Kitchen Cabinet,Laminate,INT-10247,Terracotta Kitchen Cabinet Style 247,Matte,Fabric,Terracotta,Kitchen
248,Wall Panel,Panel,INT-10248,Charcoal Wall Panel Style 248,High Gloss,Stone,Charcoal,Bathroom
249,Glass Partition,Glass,INT-10249,Cream Glass Partition Style 249,High Gloss,Concrete,Cream,Bathroom
250,Wall Paint,Paint,INT-10250,Olive Wall Paint Style 250,Matte,Stone,Olive,Bathroom
251,Wardrobe Panel,Panel,INT-10251,Walnut Wardrobe Panel Style 251,Textured,Woodgrain,Walnut,Bathroom
252,Wardrobe Panel,Panel,INT-10252,Mahogany Wardrobe Panel Style 252,Satin,Woodgrain,Mahogany,Bathroom
253,Wallpaper,Wallpaper,INT-10253,White Wallpaper Style 253,High Gloss,Fabric,White,Bathroom
254,Ceiling Panel,Panel,INT-10254,Red Ceiling Panel Style 254,Natural,Pattern,Red,Living Room
255,Kitchen Cabinet,Laminate,INT-10255,Grey Kitchen Cabinet Style 255,Satin,Woodgrain,Grey,Lobby
256,Marble Flooring,Marble,INT-10256,Grey Marble Flooring Style 256,Natural,Concrete,Grey,Lobby
